Buổi,Cảm xúc,Độ tuổi,Số lượng người,Thời tiết,Phong cách ẩm thực,Loại hình quán ăn,Chế độ ăn,Đặc Biệt,Độ phổ biến,Loại đồ ăn,,,,,
Sáng,Vui,10,5,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,hot trend,Món nước,,1,Sáng,1,Vui
Trưa,Bình thường,21,3,Nóng,Việt nam,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,đặc sản,Món lạnh,,2,Trưa,2,Bình thường
Chiều,Khó chịu,12,3,Hơi lạnh,miền nam,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bestseller,Món Tráng miệng,,3,Chiều,3,Khó chịu
Sáng,Vui,23,2,Quá Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bình thường,Món Tráng miệng,,1,Lạnh,2,có phòng trông trẻ
Đêm,Bình thường,10,2,Mát,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,hot trend,Món lạnh,,2,Nóng,3,có phòng hút thuốc
Trưa,Buồn,29,2,Lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,bestseller,Món lạnh,,3,Hơi lạnh,4,wifi miễn phí
Đêm,Vui,39,3,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bestseller,đồ ăn vặt,,4,Hơi Nóng,5,Có giao hàng free
Đêm,Vui,22,4,Hơi Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,đặc sản,Món Tráng miệng,,5,Qúa lạnh,6,Đang giảm giá
Sáng,Bình thường,8,4,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,Món nước,,6,Quá Nóng,7,có không gian ngoài trời
Đêm,Khó chịu,10,2,Hơi Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,hot trend,đồ ăn vặt,,7,Mát,1,hot trend
Trưa,Vui,32,2,Hơi Nóng,Trung quốc,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,bestseller,Món Tráng miệng,,1,Món nước,2,đặc sản
Sáng,Buồn,27,4,Mát,Trung quốc,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,bestseller,đồ ăn vặt,,2,Món lạnh,3,bestseller
Chiều,Khó chịu,7,4,Lạnh,Việt nam,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,bestseller,Món nước,,3,Món Tráng miệng,1,thanh niên
Trưa,Khó chịu,29,2,Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,Đang giảm giá,hot trend,đồ ăn vặt,,4,Món cho trẻ em,2,trung niên
Trưa,Khó chịu,21,5,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,đặc sản,Món nước,,5,đồ ăn vặt,3,người già
Đêm,Bình thường,36,5,Qúa lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,hot trend,đồ ăn vặt,,1,Trung quốc,4,trẻ con
Chiều,Bình thường,17,5,Mát,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,bestseller,Món lạnh,,2,Việt nam,1,hot trend
Đêm,Vui,11,1,Lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,bình thường,Món lạnh,,3,miền nam,2,đặc sản
Sáng,Buồn,12,3,Qúa lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,đặc sản,Món cho trẻ em,,4,miền bắc,3,bestseller
Trưa,Bình thường,36,2,Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,hot trend,Món lạnh,,5,tây ,4,bình thường
Trưa,Vui,30,1,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,đặc sản,Món Tráng miệng,,6,hàn quốc,,
Đêm,Buồn,18,4,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,Món lạnh,,1,Nhà Hàng Sang Trọng,,
Chiều,Bình thường,25,4,Nóng,Trung quốc,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,đặc sản,Món Tráng miệng,,2,Quán Vỉa Hè,,
Sáng,Khó chịu,24,4,Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món lạnh,,3,Nhà hàng bình dân,,
Chiều,Khó chịu,36,3,Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,bestseller,đồ ăn vặt,,1,ăn thoải mái,,
Đêm,Khó chịu,21,4,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,đặc sản,Món cho trẻ em,,2,ăn chay,,
Đêm,Buồn,17,4,Quá Nóng,Trung quốc,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,bestseller,Món Tráng miệng,,3,ăn kiêng,,
Sáng,Buồn,38,4,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,bình thường,Món Tráng miệng,,,,,
Tối,Buồn,35,4,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,bình thường,Món lạnh,,,,,
Tối,Buồn,29,1,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,hot trend,đồ ăn vặt,,,,,
Tối,Vui,27,3,Hơi lạnh,hàn quốc,Nhà hàng bình dân,ăn chay,Có giao hàng free,bình thường,Món cho trẻ em,,,,,
Sáng,Bình thường,20,2,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,đặc sản,Món nước,,,,,
Sáng,Bình thường,16,1,Nóng,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,hot trend,Món nước,,,,,
Đêm,Buồn,38,5,Qúa lạnh,hàn quốc,Quán Vỉa Hè,ăn chay,Có giao hàng free,đặc sản,Món lạnh,,,,,
Tối,Buồn,6,1,Hơi lạnh,hàn quốc,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bestseller,Món Tráng miệng,,,,,
